"chr"	"start"	"end"	"name"
4	73425395	75500593	"1_1_1_1_1_0_1_0_0_1_1_1_0.3041"
4	80606850	81764113	"1_1_1_1_1_0_1_0_0_1_1_1_0.550"
4	85196481	89433199	"1_1_1_1_1_0_1_0_0_1_1_1_0.3577"
4	89482913	90813983	"1_1_1_1_1_0_1_0_0_1_1_1_0.1560"
4	92228683	94317465	"1_1_1_1_1_0_1_0_0_1_1_1_0.1986"
4	94560563	95464274	"1_1_1_1_1_0_1_0_0_1_1_1_0.478"
4	96816546	97909531	"1_1_1_1_1_0_1_0_0_1_1_1_0.1122"
4	97960159	102117018	"1_1_1_1_1_0_1_0_0_1_1_1_0.3292"
4	102918344	104386454	"1_1_1_1_1_0_1_0_0_1_1_1_0.786"
4	105117064	106324947	"1_1_1_1_1_0_1_0_0_1_1_1_0.1355"
4	106379561	115469162	"1_1_1_1_1_0_1_0_0_1_1_1_0.8750"
4	134150629	134196876	"1_1_1_1_1_0_1_0_0_1_1_1_0.32"
4	134648204	134887742	"1_1_1_1_1_0_1_0_0_1_1_1_0.210"
4	158574044	158918945	"1_1_1_1_1_0_1_0_0_1_1_1_0.369"
5	340858	3094249	"1_1_1_1_1_0_1_0_0_1_1_1_0.1494"
5	3583468	4156893	"1_1_1_1_1_0_1_0_0_1_1_1_0.341"
5	23458723	25741996	"1_1_1_1_1_0_1_0_0_1_1_1_0.2294"
5	25807407	26597482	"1_1_1_1_1_0_1_0_0_1_1_1_0.1034"
5	29792662	29828188	"1_1_1_1_1_0_1_0_0_1_1_1_0.37"
5	29981907	30642771	"1_1_1_1_1_0_1_0_0_1_1_1_0.407"
5	40172199	40626395	"1_1_1_1_1_0_1_0_0_1_1_1_0.718"
5	40901081	41889702	"1_1_1_1_1_0_1_0_0_1_1_1_0.1224"
5	47322932	47560338	"1_1_1_1_1_0_1_0_0_1_1_1_0.386"
5	47642067	50643491	"1_1_1_1_1_0_1_0_0_1_1_1_0.2879"
5	53367893	53584040	"1_1_1_1_1_0_1_0_0_1_1_1_0.305"
5	53862980	54238072	"1_1_1_1_1_0_1_0_0_1_1_1_0.354"
5	54554805	55852679	"1_1_1_1_1_0_1_0_0_1_1_1_0.1648"
5	56134437	60103859	"1_1_1_1_1_0_1_0_0_1_1_1_0.4176"
5	104149630	105347240	"1_1_1_1_1_0_1_0_0_1_1_1_0.785"
5	105406381	107449399	"1_1_1_1_1_0_1_0_0_1_1_1_0.1678"
5	148638313	149284940	"1_1_1_1_1_0_1_0_0_1_1_1_0.764"
5	149407577	151571883	"1_1_1_1_1_0_1_0_0_1_1_1_0.2819"
6	5854040	5924530	"1_1_1_1_1_0_1_0_0_1_1_1_0.89"
6	23545078	24089598	"1_1_1_1_1_0_1_0_0_1_1_1_0.252"
6	25346146	39449045	"1_1_1_1_1_0_1_0_0_1_1_1_0.8365"
6	40565497	40689038	"1_1_1_1_1_0_1_0_0_1_1_1_0.134"
6	126109836	132273972	"1_1_1_1_1_0_1_0_0_1_1_1_0.6883"
6	134120385	137410098	"1_1_1_1_1_0_1_0_0_1_1_1_0.2794"
6	137661457	141916162	"1_1_1_1_1_0_1_0_0_1_1_1_0.1807"
6	144954400	145571952	"1_1_1_1_1_0_1_0_0_1_1_1_0.417"
6	145680921	147965308	"1_1_1_1_1_0_1_0_0_1_1_1_0.1180"
7	40723010	40836844	"1_1_1_1_1_0_1_0_0_1_1_1_0.67"
7	42529842	43478907	"1_1_1_1_1_0_1_0_0_1_1_1_0.271"
7	43523894	43667789	"1_1_1_1_1_0_1_0_0_1_1_1_0.90"
7	47703642	48161983	"1_1_1_1_1_0_1_0_0_1_1_1_0.347"
7	64958607	67234927	"1_1_1_1_1_0_1_0_0_1_1_1_0.1074"
7	67379434	68447998	"1_1_1_1_1_0_1_0_0_1_1_1_0.483"
7	68497678	71417927	"1_1_1_1_1_0_1_0_0_1_1_1_0.1240"
7	82015969	86669663	"1_1_1_1_1_0_1_0_0_1_1_1_0.4644"
7	86848284	90303141	"1_1_1_1_1_0_1_0_0_1_1_1_0.3185"
7	90703862	91206569	"1_1_1_1_1_0_1_0_0_1_1_1_0.362"
7	91373654	93885682	"1_1_1_1_1_0_1_0_0_1_1_1_0.1038"
7	95993004	96495336	"1_1_1_1_1_0_1_0_0_1_1_1_0.288"
7	97180349	100953954	"1_1_1_1_1_0_1_0_0_1_1_1_0.3326"
7	119435064	120420069	"1_1_1_1_1_0_1_0_0_1_1_1_0.908"
7	128097656	128376397	"1_1_1_1_1_0_1_0_0_1_1_1_0.358"
8	19614	3521260	"1_1_1_1_1_0_1_0_0_1_1_1_0.2518"
8	4430856	8763804	"1_1_1_1_1_0_1_0_0_1_1_1_0.4767"
8	9394975	13677352	"1_1_1_1_1_0_1_0_0_1_1_1_0.4421"
8	69192051	69318260	"1_1_1_1_1_0_1_0_0_1_1_1_0.259"
9	6170	756598	"1_1_1_1_1_0_1_0_0_1_1_1_0.141"
9	3101159	3275043	"1_1_1_1_1_0_1_0_0_1_1_1_0.175"
9	3991144	4560315	"1_1_1_1_1_0_1_0_0_1_1_1_0.173"
9	13388769	14894472	"1_1_1_1_1_0_1_0_0_1_1_1_0.2080"
9	20729086	20962949	"1_1_1_1_1_0_1_0_0_1_1_1_0.157"
9	22868547	22930187	"1_1_1_1_1_0_1_0_0_1_1_1_0.24"
9	28345466	28567562	"1_1_1_1_1_0_1_0_0_1_1_1_0.186"
9	28792051	29066548	"1_1_1_1_1_0_1_0_0_1_1_1_0.282"
9	34314462	34602580	"1_1_1_1_1_0_1_0_0_1_1_1_0.364"
9	35954354	36646671	"1_1_1_1_1_0_1_0_0_1_1_1_0.422"
9	48078190	49544610	"1_1_1_1_1_0_1_0_0_1_1_1_0.642"
9	50884573	51155060	"1_1_1_1_1_0_1_0_0_1_1_1_0.110"
9	68287471	69345518	"1_1_1_1_1_0_1_0_0_1_1_1_0.330"
9	69508508	70649729	"1_1_1_1_1_0_1_0_0_1_1_1_0.507"
9	70802287	74185072	"1_1_1_1_1_0_1_0_0_1_1_1_0.1715"
9	77825091	78196861	"1_1_1_1_1_0_1_0_0_1_1_1_0.152"
9	79159311	79658237	"1_1_1_1_1_0_1_0_0_1_1_1_0.274"
9	88736283	95435060	"1_1_1_1_1_0_1_0_0_1_1_1_0.3189"
9	96597298	99738788	"1_1_1_1_1_0_1_0_0_1_1_1_0.2032"
9	101250241	101595318	"1_1_1_1_1_0_1_0_0_1_1_1_0.175"
10	13233443	13271704	"1_1_1_1_1_0_1_0_0_1_1_1_0.28"
10	30853440	32641857	"1_1_1_1_1_0_1_0_0_1_1_1_0.2301"
10	50570885	50831345	"1_1_1_1_1_0_1_0_0_1_1_1_0.304"
10	52101902	52703136	"1_1_1_1_1_0_1_0_0_1_1_1_0.226"
10	63467005	63612792	"1_1_1_1_1_0_1_0_0_1_1_1_0.125"
10	64022355	64701500	"1_1_1_1_1_0_1_0_0_1_1_1_0.521"
10	69637614	70303225	"1_1_1_1_1_0_1_0_0_1_1_1_0.419"
10	76927767	77542385	"1_1_1_1_1_0_1_0_0_1_1_1_0.412"
10	77758583	78336319	"1_1_1_1_1_0_1_0_0_1_1_1_0.486"
10	78832130	79237216	"1_1_1_1_1_0_1_0_0_1_1_1_0.477"
10	79930284	80170797	"1_1_1_1_1_0_1_0_0_1_1_1_0.205"
10	82265124	83925935	"1_1_1_1_1_0_1_0_0_1_1_1_0.929"
10	86807701	87140569	"1_1_1_1_1_0_1_0_0_1_1_1_0.234"
10	88175416	88796770	"1_1_1_1_1_0_1_0_0_1_1_1_0.444"
10	100639211	101323368	"1_1_1_1_1_0_1_0_0_1_1_1_0.787"
10	101377189	107491702	"1_1_1_1_1_0_1_0_0_1_1_1_0.7450"
11	14578562	15204854	"1_1_1_1_1_0_1_0_0_1_1_1_0.129"
11	33028340	37538621	"1_1_1_1_1_0_1_0_0_1_1_1_0.4414"
11	40915369	42834856	"1_1_1_1_1_0_1_0_0_1_1_1_0.2584"
11	57029282	60220782	"1_1_1_1_1_0_1_0_0_1_1_1_0.2796"
11	60251691	64077319	"1_1_1_1_1_0_1_0_0_1_1_1_0.2735"
11	65362508	65631023	"1_1_1_1_1_0_1_0_0_1_1_1_0.138"
11	67135184	67167307	"1_1_1_1_1_0_1_0_0_1_1_1_0.85"
11	74639870	76564838	"1_1_1_1_1_0_1_0_0_1_1_1_0.2754"
11	76616285	79298181	"1_1_1_1_1_0_1_0_0_1_1_1_0.3958"
11	81027454	81269581	"1_1_1_1_1_0_1_0_0_1_1_1_0.378"
12	458548	1947251	"1_1_1_1_1_0_1_0_0_1_1_1_0.676"
12	1989038	2682550	"1_1_1_1_1_0_1_0_0_1_1_1_0.302"
12	2828467	4126734	"1_1_1_1_1_0_1_0_0_1_1_1_0.88"
12	4211577	5824522	"1_1_1_1_1_0_1_0_0_1_1_1_0.743"
12	5939728	6251455	"1_1_1_1_1_0_1_0_0_1_1_1_0.451"
12	6394849	6540659	"1_1_1_1_1_0_1_0_0_1_1_1_0.75"
12	25038168	25713300	"1_1_1_1_1_0_1_0_0_1_1_1_0.441"
12	43636994	45459004	"1_1_1_1_1_0_1_0_0_1_1_1_0.357"
13	2828333	3069523	"1_1_1_1_1_0_1_0_0_1_1_1_0.326"
13	44123509	53357935	"1_1_1_1_1_0_1_0_0_1_1_1_0.9711"
13	55182842	57415458	"1_1_1_1_1_0_1_0_0_1_1_1_0.2890"
13	57478187	58472058	"1_1_1_1_1_0_1_0_0_1_1_1_0.980"
13	62029986	62167499	"1_1_1_1_1_0_1_0_0_1_1_1_0.58"
13	63276759	63898784	"1_1_1_1_1_0_1_0_0_1_1_1_0.332"
13	63989223	64784342	"1_1_1_1_1_0_1_0_0_1_1_1_0.290"
13	65697016	72510232	"1_1_1_1_1_0_1_0_0_1_1_1_0.4438"
13	74309636	76197031	"1_1_1_1_1_0_1_0_0_1_1_1_0.801"
13	80731954	81235031	"1_1_1_1_1_0_1_0_0_1_1_1_0.815"
13	81548178	84361389	"1_1_1_1_1_0_1_0_0_1_1_1_0.3116"
13	84507472	84686128	"1_1_1_1_1_0_1_0_0_1_1_1_0.187"
13	84823654	84970798	"1_1_1_1_1_0_1_0_0_1_1_1_0.121"
13	85108475	86412529	"1_1_1_1_1_0_1_0_0_1_1_1_0.506"
13	89012696	90844431	"1_1_1_1_1_0_1_0_0_1_1_1_0.1611"
13	92975653	94029215	"1_1_1_1_1_0_1_0_0_1_1_1_0.484"
13	94227018	95712384	"1_1_1_1_1_0_1_0_0_1_1_1_0.784"
13	96503015	97116474	"1_1_1_1_1_0_1_0_0_1_1_1_0.274"
13	97317997	97567852	"1_1_1_1_1_0_1_0_0_1_1_1_0.96"
13	100078416	100181412	"1_1_1_1_1_0_1_0_0_1_1_1_0.42"
14	8124413	8182872	"1_1_1_1_1_0_1_0_0_1_1_1_0.39"
14	8422034	8488730	"1_1_1_1_1_0_1_0_0_1_1_1_0.28"
14	8508249	8593630	"1_1_1_1_1_0_1_0_0_1_1_1_0.146"
14	14040802	14501561	"1_1_1_1_1_0_1_0_0_1_1_1_0.571"
14	18701721	18915589	"1_1_1_1_1_0_1_0_0_1_1_1_0.150"
14	18947114	19147968	"1_1_1_1_1_0_1_0_0_1_1_1_0.144"
14	20784404	22292410	"1_1_1_1_1_0_1_0_0_1_1_1_0.606"
14	39317551	39538204	"1_1_1_1_1_0_1_0_0_1_1_1_0.152"
14	43726204	43964268	"1_1_1_1_1_0_1_0_0_1_1_1_0.207"
15	20056772	20165414	"1_1_1_1_1_0_1_0_0_1_1_1_0.89"
15	69507132	71165907	"1_1_1_1_1_0_1_0_0_1_1_1_0.900"
15	74333416	77224381	"1_1_1_1_1_0_1_0_0_1_1_1_0.3716"
16	85710	274443	"1_1_1_1_1_0_1_0_0_1_1_1_0.29"
16	27839880	52851800	"1_1_1_1_1_0_1_0_0_1_1_1_0.20799"
16	79805405	80039365	"1_1_1_1_1_0_1_0_0_1_1_1_0.146"
16	80253455	85037766	"1_1_1_1_1_0_1_0_0_1_1_1_0.4381"
16	85164277	90243818	"1_1_1_1_1_0_1_0_0_1_1_1_0.4316"
17	25958463	26190629	"1_1_1_1_1_0_1_0_0_1_1_1_0.392"
17	26585306	28491385	"1_1_1_1_1_0_1_0_0_1_1_1_0.2099"
17	28626540	28788651	"1_1_1_1_1_0_1_0_0_1_1_1_0.294"
17	28859527	30399937	"1_1_1_1_1_0_1_0_0_1_1_1_0.1589"
17	31742942	31863523	"1_1_1_1_1_0_1_0_0_1_1_1_0.37"
17	37031939	46511490	"1_1_1_1_1_0_1_0_0_1_1_1_0.6076"
17	52663164	55309838	"1_1_1_1_1_0_1_0_0_1_1_1_0.2128"
17	55777534	55936180	"1_1_1_1_1_0_1_0_0_1_1_1_0.224"
18	5976445	6582022	"1_1_1_1_1_0_1_0_0_1_1_1_0.401"
18	12170097	13293324	"1_1_1_1_1_0_1_0_0_1_1_1_0.1532"
18	14977219	15116589	"1_1_1_1_1_0_1_0_0_1_1_1_0.120"
18	19600940	20228236	"1_1_1_1_1_0_1_0_0_1_1_1_0.392"
18	53270388	53463419	"1_1_1_1_1_0_1_0_0_1_1_1_0.81"
18	53837005	54021605	"1_1_1_1_1_0_1_0_0_1_1_1_0.134"
18	54042383	54162536	"1_1_1_1_1_0_1_0_0_1_1_1_0.95"
18	62909661	63360814	"1_1_1_1_1_0_1_0_0_1_1_1_0.366"
18	63573763	65156605	"1_1_1_1_1_0_1_0_0_1_1_1_0.1024"
18	65589563	66133781	"1_1_1_1_1_0_1_0_0_1_1_1_0.232"
18	66188955	66250089	"1_1_1_1_1_0_1_0_0_1_1_1_0.55"
18	68337279	68792947	"1_1_1_1_1_0_1_0_0_1_1_1_0.363"
18	68827765	69009994	"1_1_1_1_1_0_1_0_0_1_1_1_0.287"
18	75406723	77270422	"1_1_1_1_1_0_1_0_0_1_1_1_0.1720"
19	9130032	9527092	"1_1_1_1_1_0_1_0_0_1_1_1_0.485"
19	10221433	10518229	"1_1_1_1_1_0_1_0_0_1_1_1_0.323"
19	13669183	16438516	"1_1_1_1_1_0_1_0_0_1_1_1_0.2288"
19	16507095	16665403	"1_1_1_1_1_0_1_0_0_1_1_1_0.237"
19	39151510	40284153	"1_1_1_1_1_0_1_0_0_1_1_1_0.475"
19	40871732	41108578	"1_1_1_1_1_0_1_0_0_1_1_1_0.160"
19	42049970	42094669	"1_1_1_1_1_0_1_0_0_1_1_1_0.44"
20	5791794	6524642	"1_1_1_1_1_0_1_0_0_1_1_1_0.870"
20	6860684	7053414	"1_1_1_1_1_0_1_0_0_1_1_1_0.173"
20	8093084	8127114	"1_1_1_1_1_0_1_0_0_1_1_1_0.43"
20	8284803	9904601	"1_1_1_1_1_0_1_0_0_1_1_1_0.1751"
20	22224565	25782159	"1_1_1_1_1_0_1_0_0_1_1_1_0.2837"
20	26406287	28364853	"1_1_1_1_1_0_1_0_0_1_1_1_0.1201"
20	29136371	29792124	"1_1_1_1_1_0_1_0_0_1_1_1_0.597"
20	30934829	34728613	"1_1_1_1_1_0_1_0_0_1_1_1_0.2979"
20	39081859	40212386	"1_1_1_1_1_0_1_0_0_1_1_1_0.1645"
20	40765216	41971529	"1_1_1_1_1_0_1_0_0_1_1_1_0.1342"
20	42338906	42396916	"1_1_1_1_1_0_1_0_0_1_1_1_0.138"
20	46311512	48453371	"1_1_1_1_1_0_1_0_0_1_1_1_0.1342"
20	48787727	49169902	"1_1_1_1_1_0_1_0_0_1_1_1_0.783"
20	49398327	49855149	"1_1_1_1_1_0_1_0_0_1_1_1_0.416"
20	49925818	50450817	"1_1_1_1_1_0_1_0_0_1_1_1_0.821"
20	51891023	52098265	"1_1_1_1_1_0_1_0_0_1_1_1_0.203"
20	52112289	52168927	"1_1_1_1_1_0_1_0_0_1_1_1_0.42"
20	52213613	52368796	"1_1_1_1_1_0_1_0_0_1_1_1_0.175"
20	52401398	52572630	"1_1_1_1_1_0_1_0_0_1_1_1_0.84"
20	52655372	53570743	"1_1_1_1_1_0_1_0_0_1_1_1_0.657"
20	53766768	55614590	"1_1_1_1_1_0_1_0_0_1_1_1_0.873"
21	6342309	6365697	"1_1_1_1_1_0_1_0_0_1_1_1_0.22"
1	94462832	94636774	"1_1_1_1_1_0_0_0_0_1_1_1_0.171"
1	242801116	243167325	"1_1_1_1_1_0_0_0_0_1_1_1_0.483"
2	358368	385376	"1_1_1_1_1_0_0_0_0_1_1_1_0.79"
2	6478471	9110037	"1_1_1_1_1_0_0_0_0_1_1_1_0.1436"
2	9155061	11935146	"1_1_1_1_1_0_0_0_0_1_1_1_0.2446"
2	13739279	14000652	"1_1_1_1_1_0_0_0_0_1_1_1_0.81"
2	14150214	15657997	"1_1_1_1_1_0_0_0_0_1_1_1_0.1438"
2	15871628	18062317	"1_1_1_1_1_0_0_0_0_1_1_1_0.2091"
2	18177528	19291055	"1_1_1_1_1_0_0_0_0_1_1_1_0.1377"
2	19368602	23533759	"1_1_1_1_1_0_0_0_0_1_1_1_0.4121"
2	23622932	23850269	"1_1_1_1_1_0_0_0_0_1_1_1_0.186"
2	24292621	24306487	"1_1_1_1_1_0_0_0_0_1_1_1_0.43"
2	24529147	27036589	"1_1_1_1_1_0_0_0_0_1_1_1_0.3728"
2	27245700	28346260	"1_1_1_1_1_0_0_0_0_1_1_1_0.1115"
2	29250858	30144009	"1_1_1_1_1_0_0_0_0_1_1_1_0.1493"
2	30335464	30538564	"1_1_1_1_1_0_0_0_0_1_1_1_0.21"
2	32940664	34976063	"1_1_1_1_1_0_0_0_0_1_1_1_0.1744"
2	37639833	37816175	"1_1_1_1_1_0_0_0_0_1_1_1_0.168"
2	38328513	38692786	"1_1_1_1_1_0_0_0_0_1_1_1_0.177"
2	38914484	40068878	"1_1_1_1_1_0_0_0_0_1_1_1_0.962"
2	40183564	40937666	"1_1_1_1_1_0_0_0_0_1_1_1_0.515"
2	49745006	51189595	"1_1_1_1_1_0_0_0_0_1_1_1_0.2000"
2	51477533	51906568	"1_1_1_1_1_0_0_0_0_1_1_1_0.245"
2	65766259	67362645	"1_1_1_1_1_0_0_0_0_1_1_1_0.2127"
2	75386346	75865286	"1_1_1_1_1_0_0_0_0_1_1_1_0.577"
2	79583682	81636055	"1_1_1_1_1_0_0_0_0_1_1_1_0.1097"
2	98324626	98648545	"1_1_1_1_1_0_0_0_0_1_1_1_0.230"
2	112272064	113583747	"1_1_1_1_1_0_0_0_0_1_1_1_0.1146"
2	113941996	121680758	"1_1_1_1_1_0_0_0_0_1_1_1_0.6963"
2	139840217	141915621	"1_1_1_1_1_0_0_0_0_1_1_1_0.1696"
2	142693342	143444853	"1_1_1_1_1_0_0_0_0_1_1_1_0.806"
2	177360081	177486640	"1_1_1_1_1_0_0_0_0_1_1_1_0.27"
2	177566008	178668688	"1_1_1_1_1_0_0_0_0_1_1_1_0.406"
2	178776989	179135210	"1_1_1_1_1_0_0_0_0_1_1_1_0.507"
2	179239545	179937402	"1_1_1_1_1_0_0_0_0_1_1_1_0.321"
2	180157744	181778643	"1_1_1_1_1_0_0_0_0_1_1_1_0.1438"
2	189030309	199739640	"1_1_1_1_1_0_0_0_0_1_1_1_0.6405"
2	199801409	200477390	"1_1_1_1_1_0_0_0_0_1_1_1_0.585"
2	201304915	203106642	"1_1_1_1_1_0_0_0_0_1_1_1_0.1760"
2	203212047	203688491	"1_1_1_1_1_0_0_0_0_1_1_1_0.212"
2	203725562	207298915	"1_1_1_1_1_0_0_0_0_1_1_1_0.1928"
2	211040402	211327186	"1_1_1_1_1_0_0_0_0_1_1_1_0.217"
2	213506788	213578514	"1_1_1_1_1_0_0_0_0_1_1_1_0.136"
2	222830804	223761011	"1_1_1_1_1_0_0_0_0_1_1_1_0.251"
3	5981195	6246807	"1_1_1_1_1_0_0_0_0_1_1_1_0.202"
3	7627937	10412897	"1_1_1_1_1_0_0_0_0_1_1_1_0.1833"
3	10703927	12142955	"1_1_1_1_1_0_0_0_0_1_1_1_0.1213"
3	12257484	12443971	"1_1_1_1_1_0_0_0_0_1_1_1_0.108"
3	13122403	13858232	"1_1_1_1_1_0_0_0_0_1_1_1_0.303"
3	14582602	16140024	"1_1_1_1_1_0_0_0_0_1_1_1_0.640"
3	20839433	21110959	"1_1_1_1_1_0_0_0_0_1_1_1_0.156"
3	23869513	24271101	"1_1_1_1_1_0_0_0_0_1_1_1_0.320"
3	24413644	24742179	"1_1_1_1_1_0_0_0_0_1_1_1_0.318"
3	24902178	25913973	"1_1_1_1_1_0_0_0_0_1_1_1_0.1317"
3	27567190	28576687	"1_1_1_1_1_0_0_0_0_1_1_1_0.934"
3	28629880	29208503	"1_1_1_1_1_0_0_0_0_1_1_1_0.526"
3	30630946	32878546	"1_1_1_1_1_0_0_0_0_1_1_1_0.1982"
3	33563876	33790248	"1_1_1_1_1_0_0_0_0_1_1_1_0.130"
3	34996203	35030702	"1_1_1_1_1_0_0_0_0_1_1_1_0.52"
3	35111576	37293299	"1_1_1_1_1_0_0_0_0_1_1_1_0.2800"
3	37712849	38055385	"1_1_1_1_1_0_0_0_0_1_1_1_0.424"
3	44412566	47413601	"1_1_1_1_1_0_0_0_0_1_1_1_0.2107"
3	47554127	49321629	"1_1_1_1_1_0_0_0_0_1_1_1_0.1445"
3	49535373	50208980	"1_1_1_1_1_0_0_0_0_1_1_1_0.557"
3	50305761	51895694	"1_1_1_1_1_0_0_0_0_1_1_1_0.1716"
3	51967343	52942507	"1_1_1_1_1_0_0_0_0_1_1_1_0.1491"
3	53225285	55843126	"1_1_1_1_1_0_0_0_0_1_1_1_0.2709"
3	92039715	92130071	"1_1_1_1_1_0_0_0_0_1_1_1_0.48"
4	8720151	9023148	"1_1_1_1_1_0_0_0_0_1_1_1_0.308"
4	9739437	10463563	"1_1_1_1_1_0_0_0_0_1_1_1_0.777"
4	11675387	12142742	"1_1_1_1_1_0_0_0_0_1_1_1_0.449"
4	13087460	15031106	"1_1_1_1_1_0_0_0_0_1_1_1_0.2249"
4	17405148	17682184	"1_1_1_1_1_0_0_0_0_1_1_1_0.120"
4	17731783	18008403	"1_1_1_1_1_0_0_0_0_1_1_1_0.180"
4	21754951	22482857	"1_1_1_1_1_0_0_0_0_1_1_1_0.702"
4	22643534	23776641	"1_1_1_1_1_0_0_0_0_1_1_1_0.1235"
4	24391750	25534766	"1_1_1_1_1_0_0_0_0_1_1_1_0.1086"
4	25927649	27577293	"1_1_1_1_1_0_0_0_0_1_1_1_0.914"
4	31950380	32656593	"1_1_1_1_1_0_0_0_0_1_1_1_0.668"
4	97334062	97349382	"1_1_1_1_1_0_0_0_0_1_1_1_0.45"
4	168064835	169645649	"1_1_1_1_1_0_0_0_0_1_1_1_0.690"
5	130552151	130563804	"1_1_1_1_1_0_0_0_0_1_1_1_0.36"
5	146908417	148687101	"1_1_1_1_1_0_0_0_0_1_1_1_0.1718"
6	46709024	47555856	"1_1_1_1_1_0_0_0_0_1_1_1_0.1042"
6	48447002	48552210	"1_1_1_1_1_0_0_0_0_1_1_1_0.95"
6	49761888	49967442	"1_1_1_1_1_0_0_0_0_1_1_1_0.201"
6	50056327	50218748	"1_1_1_1_1_0_0_0_0_1_1_1_0.101"
6	50356696	57021305	"1_1_1_1_1_0_0_0_0_1_1_1_0.6762"
6	57054713	62314166	"1_1_1_1_1_0_0_0_0_1_1_1_0.6664"
